"Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee"
"Cristiano Ronaldo","Centre-Forward",18,"Sporting CP","Liga NOS","Man Utd","Premier League","2003-2004",NA,19000000
"Louis Saha","Centre-Forward",25,"Fulham","Premier League","Man Utd","Premier League","2003-2004",NA,17500000
"Scott Parker","Central Midfield",23,"Charlton","Premier League","Chelsea","Premier League","2003-2004",NA,14000000
"Wayne Bridge","Left-Back",22,"Southampton","Premier League","Chelsea","Premier League","2003-2004",NA,10500000
"Jermain Defoe","Centre-Forward",21,"West Ham","First Division","Spurs","Premier League","2003-2004",NA,10500000
"Harry Kewell","Left Winger",24,"Leeds","Premier League","Liverpool","Premier League","2003-2004",NA,10000000
"Njitap Geremi","Right-Back",24,"Real Madrid","LaLiga","Chelsea","Premier League","2003-2004",NA,10000000
"Joe Cole","Attacking Midfield",21,"West Ham","First Division","Chelsea","Premier League","2003-2004",NA,9900000
"Barry Ferguson","Defensive Midfield",25,"Rangers","Premiership","Blackburn","Premier League","2003-2004",NA,9750000
"Hélder Postiga","Centre-Forward",20,"FC Porto","Liga NOS","Spurs","Premier League","2003-2004",NA,9000000
"Kléberson","Central Midfield",24,"Atlético-PR"," Brazil","Man Utd","Premier League","2003-2004",NA,8600000
"Glen Johnson","Right-Back",18,"West Ham","First Division","Chelsea","Premier League","2003-2004",NA,8300000
"David Dunn","Attacking Midfield",23,"Blackburn","Premier League","Birmingham","Premier League","2003-2004",NA,8250000
"Joseph Yobo","Centre-Back",22,"Marseille","Ligue 1","Everton","Premier League","2003-2004",NA,6000000
"Aleksey Smertin","Defensive Midfield",28,"G. Bordeaux","Ligue 1","Chelsea","Premier League","2003-2004",NA,5500000
"Frédéric Kanouté","Centre-Forward",25,"West Ham","First Division","Spurs","Premier League","2003-2004",NA,5250000
"Steve Finnan","Right-Back",27,"Fulham","Premier League","Liverpool","Premier League","2003-2004",NA,5250000
"Olivier Dacourt","Defensive Midfield",28,"Leeds","Premier League","AS Roma","Serie A","2003-2004",NA,5250000
"Kevin Phillips","Centre-Forward",30,"Sunderland","First Division","Southampton","Premier League","2003-2004",NA,4850000
"Yakubu Aiyegbeni","Centre-Forward",20,"Maccabi Haifa","Ligat ha'Al","Portsmouth","Premier League","2003-2004",NA,4750000
"Eric Djemba-Djemba","Defensive Midfield",22,"FC Nantes","Ligue 1","Man Utd","Premier League","2003-2004",NA,4500000
"Malcolm Christie","Right Winger",24,"Derby","First Division","Middlesbrough","Premier League","2003-2004",NA,4500000
"Trevor Sinclair","Left Winger",30,"West Ham","First Division","Man City","Premier League","2003-2004",NA,3750000
"Claudio Reyna","Central Midfield",29,"Sunderland","First Division","Man City","Premier League","2003-2004",NA,3750000
"Luciano Figueroa","Centre-Forward",22,"CA Rosario"," Argentina","Birmingham","Premier League","2003-2004",NA,3750000
"Steven Reid","Right-Back",22,"Millwall","First Division","Blackburn","Premier League","2003-2004",NA,3600000
"Philippe Senderos","Centre-Back",18,"Servette FC","Super League","Arsenal","Premier League","2003-2004",NA,3550000
"Jens Lehmann","Goalkeeper",33,"Bor. Dortmund","1.Bundesliga","Arsenal","Premier League","2003-2004",NA,3500000
"Collins John","Centre-Forward",18,"FC Twente","Eredivisie","Fulham","Premier League","2003-2004",NA,3500000
"Gavin McCann","Central Midfield",25,"Sunderland","First Division","Aston Villa","Premier League","2003-2004",NA,3380000
"Tim Howard","Goalkeeper",24,"NY Red Bulls","MLS","Man Utd","Premier League","2003-2004",NA,3200000
"Cesc Fàbregas","Central Midfield",16,"Barça Juvenil A"," Spain","Arsenal","Premier League","2003-2004",NA,3200000
"David Bellion","Centre-Forward",20,"Sunderland","First Division","Man Utd","Premier League","2003-2004",NA,3000000
"Thomas Sörensen","Goalkeeper",27,"Sunderland","First Division","Aston Villa","Premier League","2003-2004",NA,3000000
"Brett Emerton","Right Midfield",24,"Feyenoord","Eredivisie","Blackburn","Premier League","2003-2004",NA,3000000
"Carl Cort","Centre-Forward",26,"Newcastle","Premier League","Wolves","Premier League","2003-2004",NA,3000000
"David James","Goalkeeper",33,"West Ham","First Division","Man City","Premier League","2003-2004",NA,2800000
"Dejan Stefanovic","Centre-Back",28,"Vitesse","Eredivisie","Portsmouth","Premier League","2003-2004",NA,2500000
"Mbulelo Mabizela","Centre-Back",22,"Orlando Pirates"," South Africa","Spurs","Premier League","2003-2004",NA,2300000
"Eyal Berkovic","Attacking Midfield",31,"Celtic","Premiership","Man City","Premier League","2003-2004",NA,2300000
"Henri Camara","Centre-Forward",26,"CS Sedan","Ligue 2","Wolves","Premier League","2003-2004",NA,2250000
"Silas","Attacking Midfield",26,"Leiria","Liga NOS","Wolves","Premier League","2003-2004",NA,2250000
"Maik Taylor","Goalkeeper",32,"Fulham","Premier League","Birmingham","Premier League","2003-2004",NA,2250000
"Amdy Fayé","Defensive Midfield",26,"AJ Auxerre","Ligue 1","Portsmouth","Premier League","2003-2004",NA,2230000
"Neil McCann","Left Winger",29,"Rangers","Premiership","Southampton","Premier League","2003-2004",NA,2230000
"Lorenzo Amoruso","Centre-Back",32,"Rangers","Premiership","Blackburn","Premier League","2003-2004",NA,2100000
"Bobby Zamora","Centre-Forward",22,"Brighton","Second Division (bis 03/04)","Spurs","Premier League","2003-2004",NA,2000000
"Nolberto Solano","Right Midfield",29,"Newcastle","Premier League","Aston Villa","Premier League","2003-2004",NA,2000000
"Ricardinho","Attacking Midfield",27,"São Paulo"," Brazil","Middlesbrough","Premier League","2003-2004",NA,2000000
"Jody Craddock","Centre-Back",27,"Sunderland","First Division","Wolves","Premier League","2003-2004",NA,2000000
"Jon Stead","Centre-Forward",20,"Huddersfield"," England","Blackburn","Premier League","2003-2004",NA,1880000
"Vratislav Gresko","Left-Back",25,"Parma","Serie A","Blackburn","Premier League","2003-2004",NA,1800000
"James McFadden","Second Striker",20,"Motherwell FC","Premiership","Everton","Premier League","2003-2004",NA,1750000
"Ian Pearce","Centre-Back",29,"West Ham","First Division","Fulham","Premier League","2003-2004",NA,1600000
"Martin Taylor","Centre-Back",24,"Blackburn","Premier League","Birmingham","Premier League","2003-2004",NA,1600000
"Hossam Ghaly","Central Midfield",21,"Ahly","Premier League","Feyenoord","Eredivisie","2003-2004",NA,1500000
"Matías Vuoso","Centre-Forward",21,"Man City","Premier League","Santos Laguna"," Mexico","2003-2004",NA,1500000
"Paul Bosvelt","Defensive Midfield",33,"Feyenoord","Eredivisie","Man City","Premier League","2003-2004",NA,1500000
"Geoff Horsfield","Centre-Forward",29,"Birmingham","Premier League","Wigan","First Division","2003-2004",NA,1500000
"Lee Martin","Attacking Midfield",16,"MK Dons U18"," England","Man Utd U18"," England","2003-2004",NA,1500000
"Kevin Kilbane","Left Midfield",26,"Sunderland","First Division","Everton","Premier League","2003-2004",NA,1250000
"Matt Holland","Central Midfield",29,"Ipswich","First Division","Charlton","Premier League","2003-2004",NA,1250000
"Darren Huckerby","Right Winger",27,"Man City","Premier League","Norwich","First Division","2003-2004",NA,1250000
"Niclas Jensen","Left-Back",28,"Man City","Premier League","Bor. Dortmund","1.Bundesliga","2003-2004",NA,1250000
"Jonathan Blondel","Defensive Midfield",19,"Spurs","Premier League","Club Brugge","Jupiler Pro League","2003-2004",NA,1200000
"Antoine Sibierski","Attacking Midfield",29,"Lens","Ligue 1","Man City","Premier League","2003-2004",NA,1100000
"Moritz Volz","Right-Back",20,"Arsenal","Premier League","Fulham","Premier League","2003-2004",NA,1000000
"Didier Drogba","Centre-Forward",26,"Marseille","Ligue 1","Chelsea","Premier League","2004-2005",NA,38500000
"Wayne Rooney","Second Striker",18,"Everton","Premier League","Man Utd","Premier League","2004-2005",NA,37000000
"Ricardo Carvalho","Centre-Back",26,"FC Porto","Liga NOS","Chelsea","Premier League","2004-2005",NA,30000000
"Paulo Ferreira","Right-Back",25,"FC Porto","Liga NOS","Chelsea","Premier League","2004-2005",NA,20000000
"Djibril Cissé","Centre-Forward",22,"AJ Auxerre","Ligue 1","Liverpool","Premier League","2004-2005",NA,20000000
"Jonathan Woodgate","Centre-Back",24,"Newcastle","Premier League","Real Madrid","LaLiga","2004-2005",NA,18300000
"Arjen Robben","Right Winger",20,"PSV Eindhoven","Eredivisie","Chelsea","Premier League","2004-2005",NA,18000000
"Xabi Alonso","Defensive Midfield",22,"Real Sociedad","LaLiga","Liverpool","Premier League","2004-2005",NA,16000000
"Tiago","Central Midfield",23,"Benfica","Liga NOS","Chelsea","Premier League","2004-2005",NA,15000000
"Petr Cech","Goalkeeper",22,"Stade Rennais","Ligue 1","Chelsea","Premier League","2004-2005",NA,13000000
"Jiri Jarosik","Centre-Back",27,"CSKA Moscow","Premier Liga","Chelsea","Premier League","2004-2005",5000000,12000000
"Michael Owen","Centre-Forward",24,"Liverpool","Premier League","Real Madrid","LaLiga","2004-2005",NA,12000000
"Alex","Centre-Back",22,"Santos FC"," Brazil","Chelsea","Premier League","2004-2005",NA,11500000
"Jean-Alain Boumsong","Centre-Back",25,"Rangers","Premiership","Newcastle","Premier League","2004-2005",8500000,11300000
"Nicolas Anelka","Centre-Forward",25,"Man City","Premier League","Fenerbahce","Süper Lig","2004-2005",15000000,10700000
"Gabriel Heinze","Centre-Back",26,"Paris SG","Ligue 1","Man Utd","Premier League","2004-2005",NA,10000000
"Emile Heskey","Centre-Forward",26,"Liverpool","Premier League","Birmingham","Premier League","2004-2005",NA,9320000
"Fernando Morientes","Centre-Forward",28,"Real Madrid","LaLiga","Liverpool","Premier League","2004-2005",15000000,9250000
"James Beattie","Centre-Forward",26,"Southampton","Premier League","Everton","Premier League","2004-2005",10000000,9000000
"Papa Bouba Diop","Defensive Midfield",26,"Lens","Ligue 1","Fulham","Premier League","2004-2005",NA,9000000
"Alan Smith","Central Midfield",23,"Leeds","Championship","Man Utd","Premier League","2004-2005",NA,9000000
"Luis García","Right Winger",26,"FC Barcelona","LaLiga","Liverpool","Premier League","2004-2005",NA,8750000
"Andy Reid","Left Midfield",22,"Nottm Forest","Championship","Spurs","Premier League","2004-2005",3500000,8000000
"Mateja Kezman","Centre-Forward",25,"PSV Eindhoven","Eredivisie","Chelsea","Premier League","2004-2005",NA,7500000
"Hélder Postiga","Centre-Forward",21,"Spurs","Premier League","FC Porto","Liga NOS","2004-2005",NA,7500000
"James Milner","Central Midfield",18,"Leeds","Championship","Newcastle","Premier League","2004-2005",NA,7400000
"Barry Ferguson","Defensive Midfield",27,"Blackburn","Premier League","Rangers","Premiership","2004-2005",5250000,7250000
"Michael Dawson","Centre-Back",21,"Nottm Forest","Championship","Spurs","Premier League","2004-2005",1000000,7000000
"Mark Viduka","Centre-Forward",28,"Leeds","Championship","Middlesbrough","Premier League","2004-2005",NA,6750000
"Dean Ashton","Centre-Forward",21,"Crewe Alexandra","Championship","Norwich","Premier League","2004-2005",750000,6000000
"Gerard Piqué","Centre-Back",17,"Barça Juvenil A"," Spain","Man Utd","Premier League","2004-2005",NA,5250000
"Sean Davis","Defensive Midfield",24,"Fulham","Premier League","Spurs","Premier League","2004-2005",NA,5200000
"Manuel Almunia","Goalkeeper",27,"Celta de Vigo","LaLiga2","Arsenal","Premier League","2004-2005",NA,5000000
"Robbie Savage","Central Midfield",30,"Birmingham","Premier League","Blackburn","Premier League","2004-2005",5000000,4500000
"Thimothée Atouba","Left-Back",22,"FC Basel","Super League","Spurs","Premier League","2004-2005",NA,4500000
"Robert Earnshaw","Centre-Forward",23,"Cardiff","Championship","West Brom","Premier League","2004-2005",NA,4500000
"Robin van Persie","Centre-Forward",20,"Feyenoord","Eredivisie","Arsenal","Premier League","2004-2005",NA,4500000
"Michael Carrick","Defensive Midfield",23,"West Ham","Championship","Spurs","Premier League","2004-2005",NA,4100000
"Martin Laursen","Centre-Back",26,"AC Milan","Serie A","Aston Villa","Premier League","2004-2005",NA,4000000
"Francis Jeffers","Centre-Forward",23,"Arsenal","Premier League","Charlton","Premier League","2004-2005",NA,3900000
"Martin Albrechtsen","Centre-Back",24,"FC Copenhagen","Superligaen","West Brom","Premier League","2004-2005",NA,3750000
"Nicky Butt","Central Midfield",29,"Man Utd","Premier League","Newcastle","Premier League","2004-2005",NA,3750000
"Dennis Rommedahl","Right Winger",25,"PSV Eindhoven","Eredivisie","Charlton","Premier League","2004-2005",NA,3500000
"Thomas Gravesen","Defensive Midfield",28,"Everton","Premier League","Real Madrid","LaLiga","2004-2005",6000000,3400000
"Jesper Grönkjaer","Left Winger",26,"Chelsea","Premier League","Birmingham","Premier League","2004-2005",NA,3300000
"Danny Murphy","Central Midfield",27,"Liverpool","Premier League","Charlton","Premier League","2004-2005",NA,3250000
"Diego Forlán","Second Striker",25,"Man Utd","Premier League","Villarreal CF","LaLiga","2004-2005",NA,3200000
"Nigel Quashie","Central Midfield",26,"Portsmouth","Premier League","Southampton","Premier League","2004-2005",2500000,3150000
"Amdy Fayé","Defensive Midfield",27,"Portsmouth","Premier League","Newcastle","Premier League","2004-2005",3000000,3000000
"Paul Robinson","Goalkeeper",24,"Leeds","Championship","Spurs","Premier League","2004-2005",NA,3000000
"Pedro Mendes","Defensive Midfield",25,"FC Porto","Liga NOS","Spurs","Premier League","2004-2005",NA,3000000
"Stephen Carr","Right-Back",27,"Spurs","Premier League","Newcastle","Premier League","2004-2005",NA,3000000
"Tomasz Radzinski","Centre-Forward",30,"Everton","Premier League","Fulham","Premier League","2004-2005",NA,3000000
"Josemi","Centre-Back",24,"Málaga CF","LaLiga","Liverpool","Premier League","2004-2005",NA,3000000
"Jelle Van Damme","Left-Back",20,"AFC Ajax","Eredivisie","Southampton","Premier League","2004-2005",NA,3000000
"Peter Crouch","Centre-Forward",23,"Aston Villa","Premier League","Southampton","Premier League","2004-2005",NA,3000000
"Eric Djemba-Djemba","Defensive Midfield",23,"Man Utd","Premier League","Aston Villa","Premier League","2004-2005",7000000,2540000
"Ricardo Fuller","Centre-Forward",24,"Preston NE","Championship","Portsmouth","Premier League","2004-2005",NA,2500000
"Noé Pamarot","Centre-Back",25,"OGC Nice","Ligue 1","Spurs","Premier League","2004-2005",NA,2400000
"Mathieu Berson","Defensive Midfield",24,"FC Nantes","Ligue 1","Aston Villa","Premier League","2004-2005",NA,2300000
"Robbie Blake","Second Striker",28,"Burnley","Championship","Birmingham","Premier League","2004-2005",1750000,2250000
"Richard Chaplow","Central Midfield",20,"Burnley","Championship","West Brom","Premier League","2004-2005",50000,2250000
"Lomana LuaLua","Second Striker",23,"Newcastle","Premier League","Portsmouth","Premier League","2004-2005",NA,2250000
"Zoltán Gera","Central Midfield",25,"Ferencváros","NB I.","West Brom","Premier League","2004-2005",NA,2250000
"Fitz Hall","Centre-Back",23,"Southampton","Premier League","Crystal Palace","Premier League","2004-2005",NA,2250000
"Morten Gamst Pedersen","Central Midfield",22,"Tromsø","Eliteserien","Blackburn","Premier League","2004-2005",NA,2250000
"Emmanuel Eboué","Right-Back",21,"KSK Beveren","Jupiler Pro League","Arsenal","Premier League","2004-2005",1800000,2200000
"Tim Cahill","Attacking Midfield",24,"Millwall","Championship","Everton","Premier League","2004-2005",NA,2200000
"Jesper Grönkjaer","Left Winger",27,"Birmingham","Premier League","Atlético Madrid","LaLiga","2004-2005",6500000,2000000
"Erik Edman","Left-Back",25,"Heerenveen","Eredivisie","Spurs","Premier League","2004-2005",NA,2000000
"Claus Jensen","Attacking Midfield",27,"Charlton","Premier League","Fulham","Premier League","2004-2005",NA,1900000
"Andreas Jakobsson","Centre-Back",32,"Bröndby IF","Superligaen","Southampton","Premier League","2004-2005",2000000,1800000
"Calum Davenport","Centre-Back",21,"Coventry City","Championship","Spurs","Premier League","2004-2005",NA,1800000
"Jonathan Greening","Central Midfield",25,"Middlesbrough","Premier League","West Brom","Premier League","2004-2005",NA,1750000
"Tobias Linderoth","Defensive Midfield",25,"Everton","Premier League","FC Copenhagen","Superligaen","2004-2005",NA,1600000
"Giannis Skopelitis","Defensive Midfield",26,"Egaleo AO","Super League","Portsmouth","Premier League","2004-2005",800000,1500000
"Ben Thatcher","Left-Back",28,"Leicester","Championship","Man City","Premier League","2004-2005",NA,1500000
"Michael Essien","Defensive Midfield",22,"Olympique Lyon","Ligue 1","Chelsea","Premier League","2005-2006",45000000,38000000
"Shaun Wright-Phillips","Right Winger",23,"Man City","Premier League","Chelsea","Premier League","2005-2006",9500000,31500000
"Michael Owen","Centre-Forward",25,"Real Madrid","LaLiga","Newcastle","Premier League","2005-2006",22000000,25000000
"Patrick Vieira","Defensive Midfield",29,"Arsenal","Premier League","Juventus","Serie A","2005-2006",35000000,20000000
"Albert Luque","Left Winger",27,"Dep. La Coruña","LaLiga","Newcastle","Premier League","2005-2006",20000000,20000000
"Jermaine Jenas","Central Midfield",22,"Newcastle","Premier League","Spurs","Premier League","2005-2006",9000000,15000000
"Aleksandr Hleb","Attacking Midfield",24,"VfB Stuttgart","1.Bundesliga","Arsenal","Premier League","2005-2006",8500000,15000000
"Asier del Horno","Left-Back",24,"Athletic Bilbao","LaLiga","Chelsea","Premier League","2005-2006",12000000,12000000
"Mohamed Sissoko","Defensive Midfield",20,"Valencia CF","LaLiga","Liverpool","Premier League","2005-2006",4000000,12000000
"Dean Ashton","Centre-Forward",22,"Norwich","Championship","West Ham","Premier League","2005-2006",6500000,10890000
"Peter Crouch","Centre-Forward",24,"Southampton","Championship","Liverpool","Premier League","2005-2006",10500000,10500000
"Nemanja Vidic<U+200E>","Centre-Back",24,"Spartak Moscow","Premier Liga","Man Utd","Premier League","2005-2006",8500000,10500000
"Theo Walcott","Right Winger",16,"Southampton","Championship","Arsenal","Premier League","2005-2006",2500000,10500000
"Tiago","Central Midfield",24,"Chelsea","Premier League","Olympique Lyon","Ligue 1","2005-2006",10000000,10100000
"Emmanuel Adebayor","Centre-Forward",21,"Monaco","Ligue 1","Arsenal","Premier League","2005-2006",7500000,10000000
"Pepe Reina","Goalkeeper",22,"Villarreal CF","LaLiga","Liverpool","Premier League","2005-2006",4500000,9800000
"Yakubu Aiyegbeni","Centre-Forward",22,"Portsmouth","Premier League","Middlesbrough","Premier League","2005-2006",9500000,9750000
"Mateja Kezman","Centre-Forward",26,"Chelsea","Premier League","Atlético Madrid","LaLiga","2005-2006",13500000,9000000
"Andy van der Meyde","Right Winger",25,"Inter","Serie A","Everton","Premier League","2005-2006",12500000,9000000
"Scott Parker","Central Midfield",24,"Chelsea","Premier League","Newcastle","Premier League","2005-2006",11000000,9000000
"Milan Baros","Centre-Forward",23,"Liverpool","Premier League","Aston Villa","Premier League","2005-2006",17500000,8840000
"Daniel Agger","Centre-Back",21,"Bröndby IF","Superligaen","Liverpool","Premier League","2005-2006",400000,8760000
"Georgios Samaras","Left Winger",20,"Heerenveen","Eredivisie","Man City","Premier League","2005-2006",3000000,8500000
"Patrice Evra","Left-Back",24,"Monaco","Ligue 1","Man Utd","Premier League","2005-2006",6500000,8000000
"Craig Bellamy","Left Winger",26,"Newcastle","Premier League","Blackburn","Premier League","2005-2006",9000000,7500000
"Ji-seong Park","Attacking Midfield",24,"PSV Eindhoven","Eredivisie","Man Utd","Premier League","2005-2006",5000000,7300000
"Per Kröldrup","Centre-Back",25,"Udinese Calcio","Serie A","Everton","Premier League","2005-2006",7000000,6800000
"Frédéric Kanouté","Centre-Forward",27,"Spurs","Premier League","Sevilla FC","LaLiga","2005-2006",7500000,6500000
"Henri Camara","Centre-Forward",28,"Wolves","Championship","Wigan","Premier League","2005-2006",3500000,6450000
"Benjani","Centre-Forward",27,"AJ Auxerre","Ligue 1","Portsmouth","Premier League","2005-2006",4000000,6000000
"Phil Neville","Right-Back",28,"Man Utd","Premier League","Everton","Premier League","2005-2006",5000000,5300000
"Simon Davies","Right Midfield",25,"Spurs","Premier League","Everton","Premier League","2005-2006",5500000,5250000
"Slobodan Rajkovic","Centre-Back",16,"OFK Beograd","SuperLiga","Chelsea","Premier League","2005-2006",NA,5200000
"Emre Belözoglu","Central Midfield",24,"Inter","Serie A","Newcastle","Premier League","2005-2006",12000000,5000000
"El-Hadji Diouf","Centre-Forward",24,"Liverpool","Premier League","Bolton","Premier League","2005-2006",6500000,4800000
"Wilfred Bouma","Left-Back",27,"PSV Eindhoven","Eredivisie","Aston Villa","Premier League","2005-2006",5000000,4700000
"Tom Huddlestone","Defensive Midfield",18,"Derby","Championship","Spurs","Premier League","2005-2006",4700000,4700000
"Mikael Forssell","Centre-Forward",24,"Chelsea","Premier League","Birmingham","Premier League","2005-2006",7000000,4500000
"Darren Bent","Centre-Forward",21,"Ipswich","Championship","Charlton","Premier League","2005-2006",3500000,4500000
"Nathan Ellington","Centre-Forward",24,"Wigan","Premier League","West Brom","Premier League","2005-2006",2250000,4500000
"Curtis Davies","Centre-Back",20,"Luton Town","Championship","West Brom","Premier League","2005-2006",NA,4500000
"Lassana Diarra","Defensive Midfield",20,"AC Le Havre","Ligue 2","Chelsea","Premier League","2005-2006",NA,4500000
"Robert Earnshaw","Centre-Forward",24,"West Brom","Premier League","Norwich","Championship","2005-2006",5300000,4130000
"Per Kröldrup","Centre-Back",26,"Everton","Premier League","Fiorentina","Serie A","2005-2006",7250000,4000000
"Edwin van der Sar","Goalkeeper",34,"Fulham","Premier League","Man Utd","Premier League","2005-2006",4750000,4000000
"Alex Song","Defensive Midfield",17,"SC Bastia","Ligue 2","Arsenal","Premier League","2005-2006",1250000,4000000
"Yossi Benayoun","Right Winger",25,"Racing","LaLiga","West Ham","Premier League","2005-2006",4000000,3750000
"Paul Scharner","Centre-Back",25,"SK Brann","Eliteserien","Wigan","Premier League","2005-2006",3000000,3670000
"Darius Vassell","Centre-Forward",25,"Aston Villa","Premier League","Man City","Premier League","2005-2006",5750000,3600000
"Grzegorz Rasiak","Centre-Forward",26,"Derby","Championship","Spurs","Premier League","2005-2006",3500000,3500000
"Danny Murphy","Central Midfield",28,"Charlton","Premier League","Spurs","Premier League","2005-2006",5300000,3210000
"Fran Mérida","Central Midfield",15,"Barcelona Yth."," Spain","Arsenal U18"," England","2005-2006",NA,3200000
"Clinton Morrison","Centre-Forward",26,"Birmingham","Premier League","Crystal Palace","Championship","2005-2006",7000000,3000000
"Alou Diarra","Defensive Midfield",23,"Liverpool","Premier League","Lens","Ligue 1","2005-2006",4000000,3000000
"Grzegorz Rasiak","Centre-Forward",26,"Spurs","Premier League","Southampton","Championship","2005-2006",3500000,3000000
"Andrew O'Brien","Centre-Back",26,"Newcastle","Premier League","Portsmouth","Premier League","2005-2006",3500000,3000000
"Abou Diaby","Central Midfield",19,"AJ Auxerre","Ligue 1","Arsenal","Premier League","2005-2006",3000000,3000000
"Erik Edman","Left-Back",26,"Spurs","Premier League","Stade Rennais","Ligue 1","2005-2006",3000000,3000000
"Hossam Ghaly","Central Midfield",24,"Feyenoord","Eredivisie","Spurs","Premier League","2005-2006",2500000,3000000
"Marcus Bent","Centre-Forward",27,"Everton","Premier League","Charlton","Premier League","2005-2006",2250000,3000000
"Wayne Routledge","Left Winger",20,"Crystal Palace","Championship","Spurs","Premier League","2005-2006",2250000,3000000
"David Connolly","Centre-Forward",28,"Leicester","Championship","Wigan","Premier League","2005-2006",2000000,3000000
"Carlos Vela","Right Winger",16,"Chivas"," Mexico","Arsenal","Premier League","2005-2006",1000000,3000000
"Amr Zaki","Centre-Forward",22,"Enppi","Premier League","Loko Moscow","Premier Liga","2005-2006",NA,3000000
"Mikel Arteta","Central Midfield",23,"Real Sociedad","LaLiga","Everton","Premier League","2005-2006",8000000,2800000
"Emanuel Pogatetz","Centre-Back",22,"Bay. Leverkusen","1.Bundesliga","Middlesbrough","Premier League","2005-2006",3000000,2710000
"Jon Stead","Centre-Forward",22,"Blackburn","Premier League","Sunderland","Premier League","2005-2006",3000000,2700000
"Kléberson","Central Midfield",26,"Man Utd","Premier League","Besiktas","Süper Lig","2005-2006",5500000,2600000
"Thimothée Atouba","Left-Back",23,"Spurs","Premier League","Hamburger SV","1.Bundesliga","2005-2006",3000000,2500000
"Mark González","Left Winger",20,"Albacete","LaLiga2","Liverpool","Premier League","2005-2006",1500000,2500000
"Quincy Owusu-Abeyie","Left Winger",19,"Arsenal","Premier League","Spartak Moscow","Premier Liga","2005-2006",750000,2500000
"Jhon Viáfara","Defensive Midfield",26,"Once Caldas"," Colombia","Portsmouth","Premier League","2005-2006",NA,2400000
"Michael Brown","Central Midfield",28,"Spurs","Premier League","Fulham","Premier League","2005-2006",3000000,2300000
"Nolberto Solano","Right Midfield",31,"Aston Villa","Premier League","Newcastle","Premier League","2005-2006",5000000,2250000
"Paul Konchesky","Left-Back",24,"Charlton","Premier League","West Ham","Premier League","2005-2006",3500000,2250000
"Diomansy Kamara","Right Winger",24,"Modena","Serie B","West Brom","Premier League","2005-2006",2500000,2250000
"Darren Carter","Central Midfield",21,"Birmingham","Premier League","West Brom","Premier League","2005-2006",2250000,2250000
"Damien Francis","Central Midfield",26,"Norwich","Championship","Wigan","Premier League","2005-2006",550000,2250000
"John Welsh","Central Midfield",21,"Liverpool","Premier League","Hull City","Championship","2005-2006",250000,2250000
"Nuno Valente","Left-Back",30,"FC Porto","Liga NOS","Everton","Premier League","2005-2006",5000000,2000000
"Young-pyo Lee","Left-Back",28,"PSV Eindhoven","Eredivisie","Spurs","Premier League","2005-2006",4000000,2000000
"Danny Gabbidon","Centre-Back",25,"Cardiff","Championship","West Ham","Premier League","2005-2006",600000,2000000
"James Collins","Centre-Back",21,"Cardiff","Championship","West Ham","Premier League","2005-2006",600000,2000000
"Heidar Helguson","Centre-Forward",27,"Watford","Championship","Fulham","Premier League","2005-2006",200000,2000000
"Ben Foster","Goalkeeper",22,"Stoke City","Championship","Man Utd","Premier League","2005-2006",50000,2000000
"Andriy Shevchenko","Centre-Forward",29,"AC Milan","Serie A","Chelsea","Premier League","2006-2007",51000000,43300000
"Michael Carrick","Defensive Midfield",25,"Spurs","Premier League","Man Utd","Premier League","2006-2007",26500000,27200000
"John Mikel Obi","Defensive Midfield",19,"FK Lyn","Eliteserien","Chelsea","Premier League","2006-2007",NA,20000000
"Dirk Kuyt","Right Winger",26,"Feyenoord","Eredivisie","Liverpool","Premier League","2006-2007",17250000,18000000
"Obafemi Martins","Centre-Forward",21,"Inter","Serie A","Newcastle","Premier League","2006-2007",12000000,16000000
"Dimitar Berbatov","Centre-Forward",25,"Bay. Leverkusen","1.Bundesliga","Spurs","Premier League","2006-2007",17000000,15700000
"Damien Duff","Right Midfield",27,"Chelsea","Premier League","Newcastle","Premier League","2006-2007",15000000,15500000
"Ruud van Nistelrooy","Centre-Forward",30,"Man Utd","Premier League","Real Madrid","LaLiga","2006-2007",32000000,15000000
"Carlos Tévez","Second Striker",22,"Corinthians","Série A","West Ham","Premier League","2006-2007",15000000,14600000
"Javier Mascherano","Defensive Midfield",22,"Corinthians","Série A","West Ham","Premier League","2006-2007",11800000,14600000
"Khalid Boulahrouz","Centre-Back",24,"Hamburger SV","1.Bundesliga","Chelsea","Premier League","2006-2007",13000000,13200000
"Ashley Young","Left Midfield",21,"Watford","Premier League","Aston Villa","Premier League","2006-2007",6500000,13200000
"Matthew Upson","Centre-Back",27,"Birmingham","Championship","West Ham","Premier League","2006-2007",9000000,12600000
"Didier Zokora","Defensive Midfield",25,"Saint-Étienne","Ligue 1","Spurs","Premier League","2006-2007",12500000,12350000
"Nicolas Anelka","Centre-Forward",27,"Fenerbahce","Süper Lig","Bolton","Premier League","2006-2007",12000000,12000000
"Eidur Gudjohnsen","Centre-Forward",27,"Chelsea","Premier League","FC Barcelona","LaLiga","2006-2007",12000000,12000000
"Andy Johnson","Centre-Forward",25,"Crystal Palace","Championship","Everton","Premier League","2006-2007",11000000,11000000
"Tomás Rosicky","Attacking Midfield",25,"Bor. Dortmund","1.Bundesliga","Arsenal","Premier League","2006-2007",11000000,10000000
